Generate Grid,Apply Rules,Update Birds,Gen Render Instances,Clear Grid,Add Instances,Upload instances to GPU,Render Forward,MainLoop,ProfilerPrintTimeStamps,
16499114,1972877,18799959,26393506,4630143,66410597,1909977,207903,575447828,0,
13078020,1331297,16313448,22960868,4634213,56993838,1830131,203944,87368951,2935766,
10093637,1269396,16213030,22901631,4761160,53976192,1848039,239316,82990482,2936357,
39467604,1758203,17592279,22925977,4735112,84728002,1888258,239575,108435492,3045877,
11729629,1206644,15816649,22943219,4709989,55206664,1891921,198283,86369026,3232690,
14772916,1544417,16919027,22868997,5036255,59605705,2318235,461871,90409981,2984199,
15689702,1223738,15975860,22940962,5057123,59670122,2170679,338365,90752563,3071296,
16183171,1296813,16188314,23162999,5116804,60660390,2161614,860065,92696080,3017720,
15960690,1451103,16533857,22949657,4826428,60277218,1805082,192067,86587214,3035057,
32432868,2087244,19700317,23005231,5244121,80389678,1940280,539275,105222671,3230619,
14990402,1415916,16361437,22881281,4830498,59072498,2100897,609279,90942449,3483439,
14689148,1453064,16369540,23021770,4778883,58868998,1860619,203944,89800405,3126574,
15227572,1587522,16380418,22872216,5050204,59536922,2214783,433085,90069099,3220074,
16016782,1583119,16297057,23158337,5011169,60491337,2038515,422318,92429071,3301880,
15645746,1408294,16092262,22886831,5033221,59664276,1847003,295334,87595464,3186847,
16304013,1384281,15951551,22910437,4731745,59905331,1889442,212676,125147134,3126167,
15698841,1523068,16110873,22850978,4865500,59535183,2515519,675842,92448977,2881228,
15434439,1530838,16212327,22867073,4700813,59225160,1791170,191771,88016784,3250191,
15968534,1495355,16212142,23015221,4781214,59984400,1875271,205868,89878142,2988861,
15720634,1463091,16011010,22957242,4690527,59385148,1746067,195138,89651443,3094644,
15989328,1531171,16380307,22924497,4933136,60233780,1944757,250342,86937124,2865354,
16627763,1513929,15949146,22825633,4826206,60235815,1889664,268435,124592024,2967733,
15894164,1493283,15949627,22974336,4899540,59724401,1813148,201502,87764554,3016981,
17768917,1552039,16174994,22838916,4938982,61728802,1828429,240389,90652109,3039884,
16359920,1636436,16545142,22823968,4767154,60503880,1709178,191031,87559981,3077106,
15585954,1531393,16006163,22922388,4827205,59348148,1892809,223924,86783315,3028414,
16187278,1489879,15954955,22821008,4775109,59746046,1747473,195101,86361663,3082729,
16732436,1565026,16295207,23021770,5610310,61666161,2105300,212010,126359217,3001218,
16270195,1596735,16255247,22867110,4898763,60299677,2073443,457986,93409681,3136343,
16122713,1463498,16099921,22930676,4764675,59927235,1661670,181337,88363141,3086466,
15894497,1494615,16185058,23046227,4852513,59986620,1910532,207533,89280112,2957003,
15864638,1564915,16180581,22848795,4797790,59698131,1726827,183409,87342680,3083692,
16012638,1504901,16002944,22907033,4782213,59711081,1903169,205017,84989222,3127573,
16574409,1485402,16091559,22830776,4794534,60298308,1757278,187294,124088897,2985864,
16157160,1517074,16090634,22993354,4812109,60063247,1869499,210456,90929793,2980795,
16372685,1614939,16648039,22982550,5622372,61631936,1708956,254042,91099253,2943610,
13573302,1537276,16473066,22858637,4875416,57789116,1910088,191142,90915105,2994262,
10115541,1300291,15785828,22837029,4968767,53714824,1904242,195508,81813770,3007657,
10795157,1210640,15654737,23028541,5054163,54539924,1943536,231102,83108993,3011135,
11897054,1227401,15664838,22942035,4760494,55270933,1709141,205128,120261766,3199796,
11337910,1263069,15522832,22964864,4726232,54559497,1750840,197580,84339539,3070963,
11546405,1279275,15932495,22946364,5037143,55469364,1833461,214526,83901866,3026230,
12583182,1267324,15638642,22929677,4800861,55959392,1871645,188848,82926881,3031371,
13716085,1452324,16317481,22782343,4918632,57740942,1653234,187590,84490833,3012429,
14319777,1475745,15952735,22968083,4849812,58097363,1800975,188959,84425452,3303804,
15227017,1474894,16218469,22892751,4794756,59138395,1921077,199430,122948927,2944424,
15585140,1489287,16037909,22926532,4915117,59472616,1862061,189736,89247219,3156248,
15855203,1515076,16084196,22869922,4861356,59677337,1910310,270840,88864232,3046247,
15967054,1492543,16107506,22939926,4896173,59916912,1729380,205757,87512622,2932990,
15747237,1539459,16187130,22918133,5052979,59912065,2037479,315425,87500079,2920484,
16133480,1507343,16267309,22893528,4884074,60185680,1716578,193214,85531827,2975688,
17806472,1569022,16657067,22891752,5080507,62445825,2127870,574536,127940857,2939835,
16389668,1515927,16343233,22876878,5006988,60624759,1827763,215710,91166797,3026286,
15796669,1532059,16152535,22949879,5006988,59912805,1967623,371628,88610745,2982163,
16391333,1493098,16177843,22927457,4844632,60346889,1617048,184445,86941675,3054202,
16579293,1541494,16437435,22884870,4960516,60868774,1683722,183964,88658715,2923426,
16669166,1543048,16338090,22903074,5248080,61165255,1954858,241018,86694996,3243235,
16818868,1637990,16327545,22910992,4894989,60959757,1918709,256817,125187317,2966253,
16887133,1576052,16435955,22958426,5238386,61529446,2110073,219114,91300275,3120950,
16358662,1603728,16528529,22935893,4993890,60824596,1825950,206830,88631168,2926627,
16468034,1572648,16337017,22852273,5119949,60782860,1967401,222925,89710976,2937171,
16096517,1564619,16288177,22911399,4930731,60236666,1791281,201650,86871670,2890478,
16234934,1592406,16359550,28970556,7835379,69408633,2697337,1143263,99620908,3048615,
21189900,1806155,17872332,24179907,6450839,69704189,2583044,1551040,146617458,4050760,
18549284,1742367,17110502,23795625,5482401,64948801,1939836,208236,102768037,3335029,
17145615,1780070,18124931,23592162,6219293,65091621,2254188,273763,96291056,3269341,
